Adamantina,33497
Adolfo,3684
Aguaí,28195
Águas da Prata,7131
Águas de Lindóia,16190
Águas de Santa Bárbara,5224
Águas de São Pedro,1883
Agudos,32484
Alambari,3650
Alfredo Marcondes,3697
Altair,3530
Altinópolis,15481
Alto Alegre,4261
Alumínio,15252
Álvares Florence,4316
Álvares Machado,22661
Álvaro de Carvalho,4109
Alvinlândia,2837
Americana,182593
Américo Brasiliense,28287
Américo de Campos,5594
Amparo,60404
Analândia,3582
Andradina,55161
Angatuba,19297
Anhembi,4535
Anhumas,3411
Aparecida,34904
Aparecida d'Oeste,4935
Apiaí,27162
Araçariguama,11154
Araçatuba,169254
Araçoiaba da Serra,19816
Aramina,4763
Arandu,6065
Arapeí,2618
Araraquara,182471
Araras,104196
Arco-Íris,2163
Arealva,7244
Areias,3600
Areiópolis,10296
Ariranha,7477
Artur Nogueira,33124
Arujá,59185
Aspásia,1861
Assis,87251
Atibaia,111300
Auriflama,13513
Avaí,4596
Avanhandava,8829
Avaré,76472
Bady Bassitt,11550
Balbinos,1313
Bálsamo,7340
Bananal,9713
Barão de Antonina,2794
Barbosa,5837
Bariri,28224
Barra Bonita,35487
Barra do Chapéu,4846
Barra do Turvo,8108
Barretos,103913
Barrinha,24207
Barueri,208281
Bastos,20588
Batatais,51112
Bauru,316064
Bebedouro,74815
Bento de Abreu,2394
Bernardino de Campos,10720
Bertioga,30039
Bilac,6088
Birigui,94300
Biritiba Mirim,24653
Boa Esperança do Sul,12573
Bocaina,9442
Bofete,7356
Boituva,34368
Bom Jesus dos Perdões,13313
Bom Sucesso de Itararé,3231
Borá,795
Boracéia,3739
Borborema,13193
Borebi,1933
Botucatu,108306
Bragança Paulista,125031
Braúna,4383
Brejo Alegre,2308
Brodowski,17139
Brotas,18886
Buri,17629
Buritama,13854
Buritizal,3674
Cabrália Paulista,4656
Cabreúva,33100
Caçapava,76130
Cachoeira Paulista,27205
Caconde,18378
Cafelândia,15793
Caiabu,4077
Caieiras,71221
Caiuá,4192
Cajamar,50761
Cajati,29227
Cajobi,9174
Cajuru,20777
Campina do Monte Alegre,5209
Campinas,969396
Campo Limpo Paulista,63724
Campos do Jordão,44252
Campos Novos Paulista,4181
Cananéia,12298
Canas,3614
Cândido Mota,29280
Cândido Rodrigues,2613
Canitar,3481
Capão Bonito,46732
Capela do Alto,14247
Capivari,41468
Caraguatatuba,78921
Carapicuíba,344596
Cardoso,11605
Casa Branca,26800
Cássia dos Coqueiros,2871
Castilho,14948
Catanduva,105847
Catiguá,6555
Cedral,6700
Cerqueira César,15144
Cerquilho,29508
Cesário Lange,12883
Charqueada,13037
Clementina,5404
Colina,16664
Colômbia,5954
Conchal,22676
Conchas,14904
Cordeirópolis,17591
Coroados,4417
Coronel Macedo,5589
Corumbataí,3794
Cosmópolis,44355
Cosmorama,7372
Cotia,148987
Cravinhos,28411
Cristais Paulista,6579
Cruzália,2610
Cruzeiro,73492
Cubatão,108309
Cunha,23090
Descalvado,28921
Diadema,357064
Dirce Reis,1623
Divinolândia,12016
Dobrada,7007
Dois Córregos,22522
Dolcinópolis,2152
Dourado,8606
Dracena,40500
Duartina,12475
Dumont,6307
Echaporã,6827
Eldorado,14134
Elias Fausto,13888
Elisiário,2577
Embaúba,2478
Embu das Artes,207663
Embu-Guaçu,56916
Emilianópolis,2893
Engenheiro Coelho,10033
Espírito Santo do Pinhal,40480
Espírito Santo do Turvo,3677
Estrela d'Oeste,8256
Estrela do Norte,2625
Euclides da Cunha Paulista,10214
Fartura,15010
Fernandópolis,61647
Fernando Prestes,5434
Fernão,1432
Ferraz de Vasconcelos,142377
Flora Rica,2177
Floreal,3223
Flórida Paulista,11106
Florínea,3127
Franca,287737
Francisco Morato,133738
Franco da Rocha,108122
Gabriel Monteiro,2726
Gália,7853
Garça,43162
Gastão Vidigal,3586
Gavião Peixoto,4126
General Salgado,10824
Getulina,10370
Glicério,4428
Guaiçara,9211
Guaimbê,5207
Guaíra,34610
Guapiaçu,14086
Guapiara,19726
Guará,18916
Guaraçaí,8894
Guaraci,8846
Guarani d'Oeste,2006
Guarantã,6323
Guararapes,28843
Guararema,21904
Guaratinguetá,104219
Guareí,10197
Guariba,31085
Guarujá,264812
Guarulhos,1072717
Guatapará,6371
Guzolândia,4295
Herculândia,7992
Holambra,7211
Hortolândia,152523
Iacanga,8282
Iacri,6783
Iaras,3054
Ibaté,26462
Ibirá,9447
Ibirarema,5701
Ibitinga,46620
Ibiúna,64384
Icém,6772
Iepê,7257
Igaraçu do Tietê,22614
Igarapava,25925
Igaratá,8292
Iguape,27427
Ilhabela,20836
Ilha Comprida,6704
Ilha Solteira,23996
Indaiatuba,147050
Indiana,4932
Indiaporã,4058
Inúbia Paulista,3318
Ipaussu,12553
Iperó,18384
Ipeúna,4340
Ipiguá,3476
Iporanga,4562
Ipuã,11870
Iracemápolis,15555
Irapuã,6658
Irapuru,7457
Itaberá,18911
Itaí,21039
Itajobi,14230
Itaju,2638
Itanhaém,71995
Itaoca,3226
Itapecerica da Serra,129685
Itapetininga,125559
Itapeva,82866
Itapevi,162433
Itapira,63377
Itapirapuã Paulista,3577
Itápolis,37750
Itaporanga,14354
Itapuí,10371
Itapura,3838
Itaquaquecetuba,272942
Itararé,46554
Itariri,13613
Itatiba,81197
Itatinga,15446
Itirapina,12836
Itirapuã,5412
Itobi,7466
Itu,135366
Itupeva,26166
Ituverava,36268
Jaborandi,6424
Jaboticabal,67408
Jacareí,191291
Jaci,4117
Jacupiranga,17041
Jaguariúna,29597
Jales,46186
Jambeiro,3992
Jandira,91807
Jardinópolis,30729
Jarinu,17041
Jaú,112104
Jeriquara,3280
Joanópolis,10409
João Ramalho,3842
José Bonifácio,28714
Júlio Mesquita,4166
Jumirim,2196
Jundiaí,323397
Junqueirópolis,17005
Juquiá,20516
Juquitiba,26459
Lagoinha,4957
Laranjal Paulista,22145
Lavínia,5131
Lavrinhas,6008
Leme,80757
Lençóis Paulista,55042
Limeira,249046
Lindóia,5331
Lins,65952
Lorena,77990
Lourdes,2007
Louveira,23903
Lucélia,18316
Lucianópolis,2154
Luís Antônio,7160
Luiziânia,4274
Lupércio,4230
Lutécia,2897
Macatuba,15752
Macaubal,7385
Macedônia,3761
Magda,3421
Mairinque,39975
Mairiporã,60111
Manduri,8271
Marabá Paulista,3699
Maracaí,13004
Marapoama,2238
Mariápolis,3854
Marília,197342
Marinópolis,2195
Martinópolis,22346
Matão,71753
Mauá,363392
Mendonça,3759
Meridiano,4025
Mesópolis,1930
Miguelópolis,19019
Mineiros do Tietê,11410
Miracatu,22383
Mira Estrela,2596
Mirandópolis,25936
Mirante do Paranapanema,16213
Mirassol,48327
Mirassolândia,3741
Mococa,65574
Mogi das Cruzes,330241
Mogi Guaçu,124228
Mogi Mirim,81467
Mombuca,3107
Monções,2055
Mongaguá,35098
Monte Alegre do Sul,6321
Monte Alto,43613
Monte Aprazível,18413
Monte Azul Paulista,19553
Monte Castelo,4089
Monteiro Lobato,3615
Monte Mor,37340
Morro Agudo,25428
Morungaba,9911
Motuca,3871
Murutinga do Sul,3971
Nantes,2269
Narandiba,3743
Natividade da Serra,6952
Nazaré Paulista,14410
Neves Paulista,8907
Nhandeara,10194
Nipoã,3267
Nova Aliança,4768
Nova Campina,7295
Nova Canaã Paulista,2483
Nova Castilho,991
Nova Europa,7307
Nova Granada,17020
Nova Guataporanga,2087
Nova Independência,2063
Novais,3225
Nova Luzitânia,2749
Nova Odessa,42071
Novo Horizonte,32432
Nuporanga,6309
Ocauçu,4164
Óleo,2994
Olímpia,46013
Onda Verde,3413
Oriente,5884
Orindiúva,4161
Orlândia,36004
Osasco,652593
Oscar Bressane,2552
Osvaldo Cruz,29648
Ourinhos,93868
Ouroeste,6290
Ouro Verde,7148
Pacaembu,12518
Palestina,9100
Palmares Paulista,8437
Palmeira d'Oeste,10322
Palmital,20701
Panorama,13649
Paraguaçu Paulista,39618
Paraibuna,17009
Paraíso,5429
Paranapanema,15510
Paranapuã,3632
Parapuã,11104
Pardinho,4732
Pariquera-Açu,17649
Parisi,1948
Patrocínio Paulista,11416
Paulicéia,5302
Paulínia,51326
Paulistânia,1779
Paulo de Faria,8472
Pederneiras,36614
Pedra Bela,5609
Pedranópolis,2734
Pedregulho,14994
Pedreira,35219
Pedrinhas Paulista,2861
Pedro de Toledo,9187
Penápolis,54635
Pereira Barreto,25028
Pereiras,6226
Peruíbe,51451
Piacatu,4625
Piedade,50131
Pilar do Sul,23948
Pindamonhangaba,126026
Pindorama,13109
Pinhalzinho,10986
Piquerobi,3478
Piquete,15200
Piracaia,23347
Piracicaba,329158
Piraju,27897
Pirajuí,20095
Pirangi,10038
Pirapora do Bom Jesus,12395
Pirapozinho,22104
Pirassununga,64864
Piratininga,10584
Pitangueiras,31156
Planalto,3670
Platina,2867
Poá,95801
Poloni,4774
Pompéia,18171
Pongaí,3693
Pontal,29681
Pontalinda,3539
Pontes Gestal,2539
Populina,4450
Porangaba,6652
Porto Feliz,45514
Porto Ferreira,47437
Potim,13605
Potirendaba,13656
Pracinha,1431
Pradópolis,12912
Praia Grande,193582
Pratânia,3950
Presidente Alves,4317
Presidente Bernardes,14662
Presidente Epitácio,39298
Presidente Prudente,189186
Presidente Venceslau,37347
Promissão,31105
Quadra,2651
Quatá,11655
Queiroz,2171
Queluz,9112
Quintana,5443
Rafard,8360
Rancharia,28772
Redenção da Serra,4047
Regente Feijó,16998
Reginópolis,4742
Registro,53752
Restinga,5584
Ribeira,3507
Ribeirão Bonito,11246
Ribeirão Branco,21231
Ribeirão Corrente,3881
Ribeirão do Sul,4497
Ribeirão dos Índios,2222
Ribeirão Grande,7390
Ribeirão Pires,104508
Ribeirão Preto,504923
Riversul,7192
Rifaina,3325
Rincão,10330
Rinópolis,10255
Rio Claro,168218
Rio das Pedras,23494
Rio Grande da Serra,37091
Riolândia,8560
Rosana,24229
Roseira,8577
Rubiácea,2337
Rubinéia,2615
Sabino,4951
Sagres,2439
Sales,4563
Sales Oliveira,9325
Salesópolis,14357
Salmourão,4401
Saltinho,5799
Salto,93159
Salto de Pirapora,35072
Salto Grande,8444
Sandovalina,3089
Santa Adélia,13449
Santa Albertina,5586
Santa Bárbara d'Oeste,170078
Santa Branca,13010
Santa Clara d'Oeste,2123
Santa Cruz da Conceição,3531
Santa Cruz da Esperança,1796
Santa Cruz das Palmeiras,25556
Santa Cruz do Rio Pardo,40919
Santa Ernestina,5741
Santa Fé do Sul,26512
Santa Gertrudes,15906
Santa Isabel,43740
Santa Lúcia,7853
Santa Maria da Serra,4673
Santa Mercedes,2803
Santana da Ponte Pensa,1894
Santana de Parnaíba,74828
Santa Rita d'Oeste,2695
Santa Rita do Passa Quatro,26138
Santa Rosa de Viterbo,21435
Santa Salete,1379
Santo Anastácio,20749
Santo André,649331
Santo Antônio da Alegria,5764
Santo Antônio de Posse,18124
Santo Antônio do Aracanguá,6929
Santo Antônio do Jardim,6154
Santo Antônio do Pinhal,6328
Santo Expedito,2526
Santópolis do Aguapeí,3816
Santos,417983
São Bento do Sapucaí,10355
São Bernardo do Campo,703177
São Caetano do Sul,140159
São Carlos,192998
São Francisco,2863
São João da Boa Vista,77387
São João das Duas Pontes,2660
São João de Iracema,1671
São João do Pau d'Alho,2180
São Joaquim da Barra,41587
São José da Bela Vista,8075
São José do Barreiro,4143
São José do Rio Pardo,50077
São José do Rio Preto,358523
São José dos Campos,539313
São Lourenço da Serra,12199
São Luiz do Paraitinga,10429
São Manuel,36545
São Miguel Arcanjo,30798
São Paulo,10434252
São Pedro,27897
São Pedro do Turvo,6888
São Roque,66637
São Sebastião,58038
São Sebastião da Grama,12454
São Simão,13675
São Vicente,303551
Sarapuí,7805
Sarutaiá,3739
Sebastianópolis do Sul,2546
Serra Azul,7446
Serrana,32603
Serra Negra,23851
Sertãozinho,94664
Sete Barras,13714
Severínia,13605
Silveiras,5378
Socorro,32704
Sorocaba,493468
Sud Mennucci,7365
Sumaré,196723
Suzano,228690
Suzanápolis,2790
Tabapuã,10493
Tabatinga,12990
Taboão da Serra,197644
Taciba,5221
Taguaí,7468
Taiaçu,5619
Taiúva,5506
Tambaú,22258
Tanabi,22587
Tapiraí,8570
Tapiratiba,12942
Taquaral,2722
Taquaritinga,52065
Taquarituba,21982
Taquarivaí,4473
Tarabai,5786
Tarumã,10743
Tatuí,93430
Taubaté,244165
Tejupá,5336
Teodoro Sampaio,20003
Terra Roxa,7752
Tietê,31710
Timburi,2731
Torre de Pedra,2144
Torrinha,8837
Trabiju,1380
Tremembé,34823
Três Fronteiras,5159
Tuiuti,4956
Tupã,63333
Tupi Paulista,13286
Turiúba,1895
Turmalina,2366
Ubarana,4220
Ubatuba,66861
Ubirajara,4156
Uchoa,9035
União Paulista,1354
Urânia,8825
Uru,1404
Urupês,11833
Valentim Gentil,8605
Valinhos,82973
Valparaíso,18574
Vargem,6975
Vargem Grande do Sul,36302
Vargem Grande Paulista,32683
Várzea Paulista,92800
Vera Cruz,11085
Vinhedo,47215
Viradouro,15962
Vista Alegre do Alto,4754
Vitória Brasil,1675
Votorantim,95925
Votuporanga,75641
Zacarias,1947
Chavantes,12194
Estiva Gerbi,8856